register,user,title,year,score,users_rating,votes,metascore,codirector,director,cogenre,genre,mainactor,secactor,seclanguage,vose,country,seccountry
16,julzanbai012@hotmail.com,The Fits,2015,,6.7,4417,90,,Anna Rose Holmer,Music,Drama,Royalty Hightower,Alexis Neblett,,English,USA,
17,shuforfog38@orange.com,Telling Lies in America,1997,,6.2,2071,65,,Guy Ferland,Music,Drama,Kevin Bacon,Brad Renfro,,English,USA,
18,assaboshe7@vodafone.com ,Intolerance: Love's Struggle Throughout the Ages,1916,,7.8,13687,99,,D.W. Griffith,History,Drama,Lillian Gish,Mae Marsh,,English,USA,
19,angabafah7@vodafone.com ,F/X2,1991,,5.9,8537,48,,Richard Franklin,Thriller,Action,Bryan Brown,Brian Dennehy,,English,USA,
20,crileceng08@vodafone.com ,Assassin's Bullet,2012,,3.6,3100,20,,Isaac Florentine,Drama,Action,Christian Slater,Donald Sutherland,French,English,USA,
21,emigraloz8@hotmail.com,Righteous Kill,2008,,6.0,83153,36,,Jon Avnet,Drama,Crime,Robert De Niro,Al Pacino,Spanish,English,USA,
22,layprella7@vodafone.com ,Milk,2008,,7.5,161349,84,,Gus Van Sant,Drama,Biography,Sean Penn,Emile Hirsch,,English,USA,
23,toldorral065@hotmail.com,Seberg,2019,,5.5,3550,54,,Benedict Andrews,Drama,Biography,Kristen Stewart,Yvan Attal,French,English,UK,USA
24,verrocmat8819@digi.com,The Wings of the Dove,1997,,7.1,10144,73,,Iain Softley,Romance,Drama,Helena Bonham Carter,Linus Roache,,English,USA,UK
25,levbouel8567@vodafone.com ,Angel Eyes,2001,,5.6,22089,39,,Luis Mandoki,Romance,Drama,Jennifer Lopez,Jim Caviezel,,English,USA,
26,josdasvig2879@orange.com,The Ring Two,2005,9.0,5.400040160642571,89640,44,,Hideo Nakata,Mystery,Horror,Naomi Watts,Simon Baker,,English,USA,
27,sanolealg5@vodafone.com ,Rudy,1993,,7.5,54172,71,,David Anspaugh,Drama,Biography,Sean Astin,Jon Favreau,Spanish,English,USA,
28,guemaiiva047323@vodafone.com ,Madagascar 3: Europe's Most Wanted,2012,7.0,6.800001271229532,157328,60,Tom McGrath,Eric Darnell,Adventure,Animation,Ben Stiller,Chris Rock,Spanish,English,USA,
29,yahkniple6@orange.com,Vanishing Point,1971,,7.2,25889,61,,Richard C. Sarafian,Crime,Action,Barry Newman,Cleavon Little,,English,USA,
30,levbouel8567@vodafone.com ,O Jerusalem,2006,,6.1,825,39,,Élie Chouraqui,History,Drama,JJ Feild,Saïd Taghmaoui,Arabic,English,France,UK
31,elchadev223@jazztel.com,Forrest Gump,1994,,8.8,1734964,82,,Robert Zemeckis,Romance,Drama,Tom Hanks,Rebecca Williams,,English,USA,
32,vicalihma19867@gmail.com,The Chaperone,2018,,6.5,994,48,,Michael Engler,,Drama,Elizabeth McGovern,Haley Lu Richardson,,English,UK,Australia
33,yahkniple6@orange.com,The Messengers,2007,,5.4,37571,34,Oxide Chun Pang,Danny Pang,Thriller,Horror,Kristen Stewart,Dylan McDermott,,English,USA,
34,ricgoojul63@orange.com,Two Family House,2000,,7.1,1596,79,,Raymond De Felitta,Drama,Comedy,Michael Rispoli,Kelly Macdonald,,English,USA,
35,elchadev223@jazztel.com,A.C.O.D.,2013,,5.7,12587,50,,Stuart Zicherman,,Comedy,Adam Scott,Richard Jenkins,,English,USA,
36,assaboshe7@vodafone.com ,Redemption Road,2010,,5.7,489,44,,Mario Van Peebles,,Drama,Luke Perry,Taryn Manning,,English,USA,
37,vlabonalb299970@digi.com,Straight Time,1978,,7.4,7276,64,Dustin Hoffman,Ulu Grosbard,Drama,Crime,Dustin Hoffman,Theresa Russell,Spanish,English,USA,
38,joasantey6285@orange.com,Where Hope Grows,2014,10.0,6.60117973629424,2882,41,,Chris Dowling,Family,Drama,Kristoffer Polaha,David DeSanctis,,English,USA,
39,vicalihma19867@gmail.com,Fantastic Mr. Fox,2009,,7.9,190178,83,,Wes Anderson,Adventure,Animation,George Clooney,Meryl Streep,French,English,USA,UK
40,alifenvel96289@vodafone.com ,White Rabbit,2018,7.0,5.701113967437875,1167,61,,Daryl Wein,Drama,Comedy,Vivian Bang,Nana Ghana,,English,USA,
41,marmaybaz2601@movistar.com,Thin Ice,2011,1.0,6.19886114761279,4566,60,,Jill Sprecher,Crime,Comedy,Greg Kinnear,John Paul Gamoke,,English,USA,
42,jacavioli86730@vodafone.com ,In the Blood,2014,8.0,5.70020882513165,11014,40,,John Stockwell,Crime,Action,Gina Carano,Cam Gigandet,,English,UK,Puerto Rico
43,jossatcor68@gmail.com,Catwoman,2004,,3.4,107973,27,,Pitof,Crime,Action,Halle Berry,Benjamin Bratt,Spanish,English,USA,
44,aleechgua159671@movistar.com,King of California,2007,,6.6,21802,63,,Mike Cahill,Drama,Comedy,Michael Douglas,Evan Rachel Wood,Spanish,English,USA,
45,darciplle4433@jazztel.com,The East,2013,,6.8,47846,68,,Zal Batmanglij,Drama,Adventure,Brit Marling,Alexander Skarsgård,American Sign Language,English,UK,USA
46,lamgaltat5958@hotmail.com,xXx: Return of Xander Cage,2017,,5.2,82861,42,,D.J. Caruso,Adventure,Action,Vin Diesel,Donnie Yen,Spanish,English,China,Canada
47,javriscon547659@gmail.com,The Magnificent Ambersons,1942,,7.7,21514,93,Fred Fleck,Orson Welles,Romance,Drama,Joseph Cotten,Dolores Costello,,English,USA,
48,humpenpor2@orange.com,Amadeus,1984,10.0,8.30000475669505,357391,88,,Milos Forman,Drama,Biography,F. Murray Abraham,Tom Hulce,Italian,English,USA,France
49,wiltixtre7191@gmail.com,Miami Connection,1987,,5.8,4501,56,Y.K. Kim,Woo-sang Park,Crime,Action,Y.K. Kim,Vincent Hirsch,,English,USA,
50,emigraloz8@hotmail.com,The War of the Roses,1989,,6.8,46700,79,,Danny DeVito,Romance,Comedy,Michael Douglas,Kathleen Turner,,English,USA,
51,estgubalz27234@gmail.com,The Fall,2006,,7.9,105132,64,,Tarsem Singh,Drama,Adventure,Catinca Untaru,Justine Waddell,Romanian,English,USA,South Africa
52,ricgoojul63@orange.com,St. Nick,2009,,5.2,149,51,,David Lowery,,Drama,Savanna Sears,Tucker Sears,,English,USA,
53,mimguarez39608@orange.com,Transylmania,2009,,3.8,2535,8,Scott Hillenbrand,David Hillenbrand,Horror,Comedy,Oren Skoog,Josh Miller,,English,USA,
54,lucboufan4887@hotmail.com,The Apple Dumpling Gang,1975,,6.5,4863,59,,Norman Tokar,Family,Comedy,Bill Bixby,Susan Clark,,English,USA,
55,estgubalz27234@gmail.com,Mary Poppins,1964,,7.8,152735,88,,Robert Stevenson,Family,Comedy,Julie Andrews,Dick Van Dyke,,English,USA,
56,siljaugea161@orange.com,Marmaduke,2010,,4.3,13954,30,,Tom Dey,Family,Comedy,Owen Wilson,Emma Stone,,English,USA,
57,assaboshe7@vodafone.com ,True Lies,1994,,7.2,230635,63,,James Cameron,Comedy,Action,Arnold Schwarzenegger,Jamie Lee Curtis,French,English,USA,
58,aleechgua159671@movistar.com,Freshman Orientation,2004,,5.4,1503,41,,Ryan Shiraki,Romance,Comedy,Sam Huntington,Marla Sokoloff,,English,USA,
59,anaustdob5@digi.com,Deuce Bigalow: Male Gigolo,1999,,5.7,69149,30,,Mike Mitchell,Romance,Comedy,Rob Schneider,William Forsythe,,English,USA,
60,ismarrpla915496@movistar.com,Wildlike,2014,,6.6,4210,74,,Frank Hall Green,Drama,Adventure,Ella Purnell,Brian Geraghty,,English,USA,
61,sanolealg5@vodafone.com ,Silent Movie,1976,,6.7,15574,75,,Mel Brooks,,Comedy,Mel Brooks,Marty Feldman,,English,USA,
62,guiurdfel76@digi.com,The Pyramid,2014,5.0,4.600017730496454,22560,24,,Grégory Levasseur,Adventure,Action,Ashley Hinshaw,Denis O'Hare,,English,USA,Morocco
63,aleechgua159671@movistar.com,Brooklyn's Finest,2009,,6.7,59863,43,,Antoine Fuqua,Drama,Crime,Richard Gere,Don Cheadle,,English,USA,
64,aleechgua159671@movistar.com,Rogue One: A Star Wars Story,2016,7.0,7.799998497536899,532459,65,,Gareth Edwards,Adventure,Action,Felicity Jones,Diego Luna,,English,USA,
65,raubetpen522@jazztel.com,Son of God,2014,,5.7,18103,37,,Christopher Spencer,Drama,Biography,Diogo Morgado,Greg Hicks,Hebrew,English,USA,
67,isasasjar59@orange.com,Remember the Titans,2000,,7.8,192331,48,,Boaz Yakin,Drama,Biography,Denzel Washington,Will Patton,,English,USA,
68,gemyanbic970@hotmail.com,The African Queen,1951,9.0,7.700018701806883,69512,91,,John Huston,Drama,Adventure,Humphrey Bogart,Katharine Hepburn,German,English,UK,USA
69,alifenvel96289@vodafone.com ,Aniara,2018,2.0,6.199105812220567,4697,61,Hugo Lilja,Pella Kagerman,Sci-Fi,Drama,Emelie Garbers,Bianca Cruzeiro,Spanish,Swedish,Sweden,Denmark
70,wiosormas415@movistar.com,bwoy,2016,,5.1,139,64,,John G. Young,,Drama,Anthony Rapp,De'Adre Aziza,,English,USA,
71,jossatcor68@gmail.com,Factotum,2005,,6.6,13654,71,,Bent Hamer,Drama,Comedy,Matt Dillon,Lili Taylor,,English,Norway,USA
72,tescitel7807@orange.com,Judgment at Nuremberg,1961,,8.2,66361,60,,Stanley Kramer,War,Drama,Spencer Tracy,Burt Lancaster,German,English,USA,
73,marchesui6@vodafone.com ,The Object of My Affection,1998,,6.0,18380,51,,Nicholas Hytner,Drama,Comedy,Paul Rudd,Kali Rocha,,English,USA,
74,ricgoojul63@orange.com,Uncertain Terms,2014,,5.8,325,68,,Nathan Silver,Drama,Comedy,David Dahlbom,Adinah Dancyger,,English,USA,
75,yesbelhar0221@gmail.com,Marked for Death,1990,,6.0,19087,49,,Dwight H. Little,Adventure,Action,Steven Seagal,Basil Wallace,,English,USA,
77,temifkalo07834@orange.com,A Family Man,2016,,6.5,9836,21,,Mark Williams,,Drama,Gretchen Mol,Alison Brie,,English,Canada,USA
78,chobunbux37@orange.com,Corporate Animals,2019,,4.4,1727,31,,Patrick Brice,Horror,Comedy,Demi Moore,Ed Helms,,English,USA,
79,adrlukest73@movistar.com,Resident Evil: The Final Chapter,2016,,5.5,80945,49,,Paul W.S. Anderson,Adventure,Action,Milla Jovovich,Iain Glen,,English,USA,Germany
80,raqmirbra6@digi.com,Crooked House,2017,,6.3,16378,59,,Gilles Paquet-Brenner,Drama,Crime,Max Irons,Stefanie Martini,,English,UK,USA
81,adachusan1@movistar.com,Land of the Lost,2009,,5.3,63960,32,,Brad Silberling,Adventure,Action,Will Ferrell,Anna Friel,,English,USA,
82,assaboshe7@vodafone.com ,Seventh Son,2014,,5.5,69294,30,,Sergei Bodrov,Adventure,Action,Jeff Bridges,Ben Barnes,,English,USA,UK
83,jacavioli86730@vodafone.com ,The Shape of Water,2017,,7.3,351884,87,,Guillermo del Toro,Drama,Adventure,Sally Hawkins,Michael Shannon,American Sign Language,English,USA,Canada
84,guiurdfel76@digi.com,Snow Falling on Cedars,1999,,6.7,13497,44,,Scott Hicks,Mystery,Drama,Ethan Hawke,Yûki Kudô,Japanese,English,USA,
85,adidialar3@digi.com,Sliver,1993,10.0,5.000177582042904,28156,38,,Phillip Noyce,Thriller,Drama,Sharon Stone,William Baldwin,,English,USA,
86,vikmoulir84896@gmail.com,47 Meters Down: Uncaged,2019,,5.0,16521,43,,Johannes Roberts,Drama,Adventure,Sophie Nélisse,Corinne Foxx,,English,UK,USA
88,naytracam020337@digi.com,The Electric Horseman,1979,,6.4,7199,64,,Sydney Pollack,Drama,Comedy,Robert Redford,Jane Fonda,,English,USA,
89,xesmalref0@digi.com,The Hollars,2016,10.0,6.500318095064983,11003,53,,John Krasinski,Drama,Comedy,Margo Martindale,Sharlto Copley,,English,USA,
90,wiltixtre7191@gmail.com,Breathe In,2013,,6.4,13797,60,,Drake Doremus,Romance,Drama,Guy Pearce,Felicity Jones,,English,USA,
91,naytracam020337@digi.com,The Brothers Bloom,2008,,6.8,48098,55,,Rian Johnson,Adventure,Action,Rachel Weisz,Adrien Brody,French,English,USA,
92,mimguarez39608@orange.com,Addicted to Fresno,2015,,5.4,2261,34,,Jamie Babbit,Crime,Comedy,Judy Greer,Natasha Lyonne,,English,USA,
94,julzanbai012@hotmail.com,Carny,1980,,6.4,1837,68,,Robert Kaylor,,Drama,Gary Busey,Jodie Foster,,English,USA,
95,temifkalo07834@orange.com,Love Ranch,2010,,5.6,2893,37,,Taylor Hackford,Comedy,Biography,Helen Mirren,Joe Pesci,,English,USA,Germany
96,vazbanben7743@digi.com,Contraband,2012,,6.5,114650,51,,Baltasar Kormákur,Crime,Action,Robert Wahlberg,Caleb Landry Jones,Spanish,English,USA,UK
97,ursridgra182458@movistar.com,Bend It Like Beckham,2002,,6.6,102352,66,,Gurinder Chadha,Drama,Comedy,Parminder Nagra,Keira Knightley,Punjabi,English,UK,Germany
98,yahkniple6@orange.com,Bandits,2001,5.0,6.49997666677037,64286,60,,Barry Levinson,Crime,Comedy,Bruce Willis,Billy Bob Thornton,,English,USA,
99,temifkalo07834@orange.com,The Amateurs,2005,,6.3,6065,45,,Michael Traeger,,Comedy,Jeff Bridges,Tim Blake Nelson,,English,USA,Germany
100,julcarbad6@jazztel.com,Sabotage,2014,4.0,5.699970559201982,57743,41,,David Ayer,Crime,Action,Arnold Schwarzenegger,Sam Worthington,Spanish,English,USA,
101,vlabonalb299970@digi.com,Good Boys,2019,,6.7,51348,60,,Gene Stupnitsky,Comedy,Adventure,Jacob Tremblay,Keith L. Williams,,English,USA,
102,almfetest52084@jazztel.com,Slaughterhouse-Five,1972,,6.9,11821,66,,George Roy Hill,Drama,Comedy,Michael Sacks,Ron Leibman,German,English,USA,
103,yihcarhol30408@gmail.com,Sweet Land,2005,,7.1,3576,75,,Ali Selim,Romance,Drama,Elizabeth Reaser,Lois Smith,German,English,USA,
104,estbouel3440@orange.com,The Wind,2018,,5.5,5232,66,,Emma Tammi,Western,Horror,Caitlin Gerard,Julia Goldani Telles,,English,USA,
105,anaustdob5@digi.com,Bloodline,2018,,6.0,4788,50,,Henry Jacobson,Horror,Crime,Seann William Scott,Mariela Garriga,,English,USA,
106,adidialar3@digi.com,Labor Day,2013,3.0,6.899905410977177,41231,52,,Jason Reitman,Romance,Drama,Kate Winslet,Josh Brolin,,English,USA,
107,conwendi39269@orange.com,The Brothers McMullen,1995,,6.599417556510885,7211,73,,Edward Burns,Drama,Comedy,Shari Albert,Maxine Bahns,,English,USA,
108,estgubalz27234@gmail.com,Flypaper,2011,,6.4,31199,37,,Rob Minkoff,Crime,Comedy,Patrick Dempsey,Ashley Judd,,English,Germany,USA
109,adidialar3@digi.com,Fighting,2009,,5.6,31576,61,,Dito Montiel,Crime,Action,Channing Tatum,Terrence Howard,Russian,English,USA,
110,conwendi39269@orange.com,Bringing Out the Dead,1999,,6.8,61939,70,,Martin Scorsese,Thriller,Drama,Nicolas Cage,Patricia Arquette,,English,USA,
111,harraeel5@jazztel.com,Downhill Racer,1969,,6.4,3949,89,,Michael Ritchie,Sport,Drama,Robert Redford,Gene Hackman,German,English,USA,
112,saafrarei8189@jazztel.com,Sounder,1972,,7.5,3390,80,,Martin Ritt,Family,Drama,Cicely Tyson,Paul Winfield,,English,USA,
113,vicalihma19867@gmail.com,Murder Mystery,2019,,6.0,90373,38,,Kyle Newacheck,Comedy,Action,Adam Sandler,Jennifer Aniston,French,English,USA,
114,gemyanbic970@hotmail.com,Opening Night,1977,10.0,8.000233263354326,8574,69,,John Cassavetes,,Drama,Gena Rowlands,John Cassavetes,,English,USA,
115,emigraloz8@hotmail.com,The Brave One,2007,,6.7,57359,56,,Neil Jordan,Crime,Action,Jodie Foster,Terrence Howard,,English,USA,
116,lucboufan4887@hotmail.com,The Way of the Gun,2000,,6.7,31147,49,,Christopher McQuarrie,Crime,Action,Ryan Phillippe,Benicio Del Toro,Spanish,English,USA,
117,julharsel07108@orange.com,The Gumball Rally,1976,10.0,6.3010384507437545,3563,37,,Charles Bail,,Comedy,Michael Sarrazin,Norman Burton,Italian,English,USA,
118,lucboufan4887@hotmail.com,Iris,2001,2.0,6.999703686144364,16874,76,,Richard Eyre,Drama,Biography,Kate Winslet,Hugh Bonneville,,English,UK,USA
119,tescitel7807@orange.com,My Big Fat Greek Wedding,2002,,6.5,117210,62,,Joel Zwick,Drama,Comedy,Nia Vardalos,Michael Constantine,Greek,English,Canada,USA
120,valdemesp8@movistar.com,Bad Kids Go to Hell,2012,,4.5,3466,40,,Matthew Spradlin,Mystery,Comedy,Cameron Deane Stewart,Ben Browder,,English,USA,
121,julcarbad6@jazztel.com,The Vault,2017,,4.8,11617,50,,Dan Bush,Horror,Crime,James Franco,Scott Haze,,English,USA,
122,marchesui6@vodafone.com ,Underworld: Rise of the Lycans,2009,,6.6,147854,44,,Patrick Tatopoulos,Fantasy,Action,Michael Sheen,Bill Nighy,,English,USA,New Zealand
123,almfetest52084@jazztel.com,The Girl on the Train,2016,5.0,6.499990795004756,162955,48,,Tate Taylor,Drama,Crime,Emily Blunt,Haley Bennett,Spanish,English,USA,India
124,darbassom07@vodafone.com ,Cobb,1994,5.0,6.399797979797981,6930,66,,Ron Shelton,Drama,Biography,Tommy Lee Jones,Robert Wuhl,,English,USA,
125,shuforfog38@orange.com,The Girl Is in Trouble,2015,6.0,4.901298701298702,847,55,,Julius Onah,Crime,Action,Columbus Short,Wilmer Valderrama,,English,USA,
126,julzanbai012@hotmail.com,Person to Person,2017,4.0,5.698733233979136,1342,53,,Dustin Guy Defa,Drama,Comedy,Abbi Jacobson,Michael Cera,,English,USA,
127,julzanbai012@hotmail.com,Freedom,2014,,6.3,1652,30,,Peter Cousens,Music,Drama,Cuba Gooding Jr.,Sharon Leal,,English,USA,
128,tabcalras13@hotmail.com,Land of the Dead,2005,,6.2,89854,71,,George A. Romero,Sci-Fi,Horror,Simon Baker,John Leguizamo,Spanish,English,France,Canada
129,raubetpen522@jazztel.com,The Lego Batman Movie,2017,,7.3,126700,75,,Chris McKay,Action,Animation,Will Arnett,Michael Cera,,English,USA,Denmark
130,wiltixtre7191@gmail.com,Serendipity,2001,,6.9,101485,52,,Peter Chelsom,Romance,Comedy,John Cusack,Kate Beckinsale,French,English,USA,Canada
131,toldorral065@hotmail.com,The Secret Garden,1993,,7.3,35199,74,,Agnieszka Holland,Family,Drama,Kate Maberly,Heydon Prowse,,English,UK,USA
132,aguherbas3716@gmail.com,The Reluctant Fundamentalist,2012,,6.9,13040,54,,Mira Nair,Thriller,Drama,Riz Ahmed,Kate Hudson,Urdu,English,USA,UK
133,juaaouesq86543@vodafone.com ,Micki + Maude,1984,5.0,5.999619337647506,2627,64,,Blake Edwards,Romance,Comedy,Dudley Moore,Amy Irving,,English,USA,
134,julharsel07108@orange.com,Barton Fink,1991,,7.7,109681,69,Ethan Coen,Joel Coen,Drama,Comedy,John Turturro,John Goodman,,English,USA,UK
135,guemaiiva047323@vodafone.com ,Trolls,2016,,6.5,69013,55,Walt Dohrn,Mike Mitchell,Adventure,Animation,Anna Kendrick,Justin Timberlake,,English,USA,
136,marrachac85@movistar.com,Funny Bunny,2015,,6.0,178,47,,Alison Bagnall,Drama,Comedy,Olly Alexander,Kentucker Audley,,English,USA,
137,peltuegus5983@jazztel.com,Daltry Calhoun,2005,8.0,5.101294065149487,2241,30,,Katrina Holden Bronson,Drama,Comedy,Elizabeth Banks,Johnny Knoxville,,English,USA,
138,gemyanbic970@hotmail.com,An Innocent Man,1989,,6.5,5959,39,,Peter Yates,Crime,Action,Tom Selleck,F. Murray Abraham,,English,USA,
139,angabafah7@vodafone.com ,Jeepers Creepers 2,2003,,5.6,56756,36,,Victor Salva,,Horror,Ray Wise,Jonathan Breck,,English,USA,
140,peltuegus5983@jazztel.com,Dreamgirls,2006,6.0,6.499992537313433,67000,76,,Bill Condon,Music,Drama,Jamie Foxx,Beyoncé,,English,USA,
141,darciplle4433@jazztel.com,The Boy Downstairs,2017,,5.7,1257,59,,Sophie Brooks,Drama,Comedy,Zosia Mamet,Matthew Shear,,English,USA,
142,assaboshe7@vodafone.com ,Whatever It Takes,2000,,5.5,9572,20,,David Raynr,Drama,Comedy,Jodi Lyn O'Keefe,Shane West,,English,USA,
143,darbassom07@vodafone.com ,Never Goin' Back,2018,,6.0,2194,62,,Augustine Frizzell,Crime,Comedy,Maia Mitchell,Camila Morrone,,English,USA,
144,adidialar3@digi.com,The Adventures of Tintin,2011,,7.3,211573,68,,Steven Spielberg,Action,Animation,Jamie Bell,Andy Serkis,,English,USA,New Zealand
145,lucboufan4887@hotmail.com,The Crew,2000,,5.6,4435,37,,Michael Dinner,Crime,Comedy,Richard Dreyfuss,Burt Reynolds,Spanish,English,USA,
146,vikmoulir84896@gmail.com,The Brooklyn Banker,2016,,6.7,805,32,,Federico Castelluccio,Crime,Action,Troy Garity,Paul Sorvino,,English,USA,
147,mimguarez39608@orange.com,The Secret of My Success,1987,2.0,6.4998426243267815,28594,36,,Herbert Ross,Romance,Comedy,Michael J. Fox,Helen Slater,,English,USA,
148,gemyanbic970@hotmail.com,The Zero Theorem,2013,10.0,6.100088044067184,44296,50,,Terry Gilliam,Drama,Comedy,Christoph Waltz,Gwendoline Christie,,English,UK,Romania
149,raqmirbra6@digi.com,Space Jam,1996,,6.4,156780,59,,Joe Pytka,Adventure,Animation,Michael Jordan,Wayne Knight,,English,USA,
150,peltuegus5983@jazztel.com,Reservoir Dogs,1992,,8.3,887062,79,,Quentin Tarantino,Drama,Crime,Harvey Keitel,Tim Roth,,English,USA,
151,anaustdob5@digi.com,Sleepless in Seattle,1993,,6.8,153542,72,,Nora Ephron,Drama,Comedy,Tom Hanks,Ross Malinger,,English,USA,
152,naytracam020337@digi.com,Chapman,2013,,7.3,34,43,,Justin Owensby,,Drama,Jesse Johnson,Christopher Masterson,,English,USA,
153,julharsel07108@orange.com,Fateless,2005,,6.9,6419,87,,Lajos Koltai,Romance,Drama,Marcell Nagy,Béla Dóra,German,Hungarian,Hungary,Germany
154,joasantey6285@orange.com,Krystal,2017,7.0,5.401336675020886,1197,39,,William H. Macy,Drama,Comedy,Rosario Dawson,Nick Robinson,,English,USA,
155,saafrarei8189@jazztel.com,Albino Alligator,1996,,6.1,7459,48,,Kevin Spacey,Drama,Crime,Matt Dillon,Faye Dunaway,,English,USA,France
156,vlabonalb299970@digi.com,Feral,2017,5.0,4.500202675314147,2467,41,,Mark Young,Drama,Action,Scout Taylor-Compton,Olivia Luccardi,,English,USA,
157,crileceng08@vodafone.com ,Pet Sematary II,1992,,4.9,18734,35,,Mary Lambert,Horror,Fantasy,Edward Furlong,Anthony Edwards,,English,USA,
158,josciclir66828@movistar.com,Midway,1976,,6.8,48193,48,,Jack Smight,Drama,Action,Charlton Heston,Henry Fonda,,English,USA,
159,marmaybaz2601@movistar.com,Lords of Dogtown,2005,,7.1,51057,56,,Catherine Hardwicke,Drama,Biography,John Robinson,Emile Hirsch,Spanish,English,USA,Germany
160,gemyanbic970@hotmail.com,Buster's Mal Heart,2017,,6.1,7231,63,,Sarah Adina Smith,Mystery,Drama,Rami Malek,DJ Qualls,Spanish,English,USA,
161,javriscon547659@gmail.com,The Believers,1987,,6.1,5986,40,,John Schlesinger,Drama,Crime,Martin Sheen,Helen Shaver,,English,USA,
162,tiaferric09@vodafone.com ,Beneath the Planet of the Apes,1970,,6.1,40758,46,,Ted Post,Adventure,Action,James Franciscus,Kim Hunter,,English,USA,
163,nicpetriu089@movistar.com,Insomnia,2002,,7.2,265655,78,,Christopher Nolan,Mystery,Drama,Al Pacino,Martin Donovan,,English,USA,UK
164,yihcarhol30408@gmail.com,Star Trek VI: The Undiscovered Country,1991,,7.2,68283,65,,Nicholas Meyer,Adventure,Action,William Shatner,Leonard Nimoy,Klingon,English,USA,
165,isademiq051102@vodafone.com ,The Super,2017,,5.9,12223,47,,Stephan Rick,Mystery,Horror,Patrick John Flueger,Val Kilmer,,English,USA,
166,emigraloz8@hotmail.com,Parkland,2013,,6.3,14724,51,,Peter Landesman,History,Drama,Marcia Gay Harden,Matt Barr,,English,USA,
167,marchesui6@vodafone.com ,Who'll Stop the Rain,1978,,6.7,2424,73,,Karel Reisz,Crime,Action,Nick Nolte,Tuesday Weld,,English,USA,
168,ricgoojul63@orange.com,Breakin',1984,,5.800212089077412,5658,53,,Joel Silberg,Drama,Comedy,Lucinda Dickey,Adolfo Quinones,,English,USA,
169,joasantey6285@orange.com,In Bruges,2008,0.0,7.9,380379,67,,Martin McDonagh,Crime,Comedy,Elizabeth Berrington,Rudy Blomme,,English,UK,USA
170,jacavioli86730@vodafone.com ,A League of Their Own,1992,,7.3,89806,67,,Penny Marshall,Drama,Comedy,Tom Hanks,Geena Davis,,English,USA,
171,guidobger8790@hotmail.com,The Santa Clause,1994,,6.5,91691,57,,John Pasquin,Drama,Comedy,Tim Allen,Judge Reinhold,Spanish,English,USA,Canada
172,jaibelvec58@movistar.com,The Kid,2000,,6.1,5939,45,,Jon Turteltaub,Family,Comedy,Bruce Willis,Spencer Breslin,,English,USA,
173,vikmoulir84896@gmail.com,Captive,2015,,5.4,6310,36,,Jerry Jameson,Crime,Action,Elle Graham,Kate Mara,,English,Mexico,USA
